Date,Close/Last,Volume,Open,High,Low
09/20/2024,$217.70,9958980,$214.33,$217.85,$213.74
09/19/2024,$213.89,5279559,$218.01,$218.48,$210.37
09/18/2024,$214.94,3482764,$214.13,$216.86,$213.59
09/17/2024,$214.13,5635210,$217.25,$218.84,$213.00
09/16/2024,$217.16,4176257,$215.88,$217.90,$215.52
09/13/2024,$214.79,4572344,$212.48,$216.09,$212.13
09/12/2024,$211.61,4616446,$210.00,$212.65,$208.265
09/11/2024,$209.89,5554309,$207.76,$210.12,$203.04
09/10/2024,$205.32,3070644,$204.20,$205.83,$202.87
09/09/2024,$203.53,3705004,$201.94,$205.05,$201.43
09/06/2024,$200.74,3304491,$202.38,$204.10,$199.335
09/05/2024,$202.59,3229345,$204.08,$205.95,$200.96
09/04/2024,$204.11,3142476,$200.76,$204.36,$200.50
09/03/2024,$201.28,3874697,$201.91,$204.72,$200.21
08/30/2024,$202.13,4750999,$199.11,$202.17,$198.73
08/29/2024,$198.90,2989594,$199.30,$201.12,$198.27
08/28/2024,$198.46,2645244,$199.00,$200.00,$197.49
08/27/2024,$198.73,2617229,$197.44,$199.40,$196.97
08/26/2024,$197.98,2567217,$196.00,$198.345,$195.90
08/23/2024,$196.10,2321961,$196.79,$197.38,$194.39
08/22/2024,$195.96,1969496,$197.25,$197.92,$195.57
08/21/2024,$197.21,2579343,$195.97,$197.33,$194.115
08/20/2024,$196.03,1790371,$194.59,$196.21,$193.75
08/19/2024,$194.73,2361378,$193.84,$195.525,$193.715
08/16/2024,$193.78,2494472,$193.58,$194.35,$192.86
08/15/2024,$193.95,2471985,$193.51,$194.25,$193.28
08/14/2024,$192.32,1895114,$191.15,$193.09,$190.73
08/13/2024,$190.99,2178862,$190.29,$191.31,$189.21
08/12/2024,$189.48,2290421,$191.25,$191.5761,$189.0001
08/09/2024,$191.45,2773706,$191.18,$192.63,$189.04
08/08/2024,$192.61,3712698,$187.50,$192.88,$187.00
08/07/2024,$186.80,3801942,$188.08,$189.87,$186.70
08/06/2024,$186.80,3632517,$184.70,$188.90,$183.64
08/05/2024,$183.31,4975002,$184.55,$185.255,$181.81
08/02/2024,$189.12,4548824,$188.78,$189.26,$185.70
08/01/2024,$189.66,4085354,$192.81,$193.635,$188.29
07/31/2024,$192.14,5558405,$191.00,$194.5499,$189.99
07/30/2024,$191.04,3064978,$191.48,$192.77,$189.09
07/29/2024,$191.50,3336806,$193.18,$193.29,$189.18
07/26/2024,$191.75,4294875,$190.51,$193.57,$189.622
07/25/2024,$191.98,9532802,$186.80,$196.26,$185.30
07/24/2024,$184.02,6962071,$184.14,$185.0714,$183.145
07/23/2024,$184.10,2180225,$184.36,$185.38,$183.01
07/22/2024,$184.15,2488525,$183.40,$184.97,$182.86
07/19/2024,$183.25,3816039,$186.33,$187.00,$181.95
07/18/2024,$185.22,3487808,$186.64,$189.47,$185.10
07/17/2024,$187.45,4225302,$185.44,$187.94,$185.07
07/16/2024,$185.81,3374526,$184.67,$186.60,$184.52
07/15/2024,$182.88,2925794,$183.38,$184.90,$182.60
07/12/2024,$182.83,4785565,$178.56,$184.16,$178.50
07/11/2024,$178.31,2807145,$177.65,$179.44,$176.62
07/10/2024,$177.84,3462182,$176.60,$178.22,$174.45
07/09/2024,$176.48,2513305,$177.60,$177.70,$175.58
07/08/2024,$177.64,2503038,$176.41,$178.59,$176.01
07/05/2024,$176.02,2085970,$175.74,$176.09,$173.95
07/03/2024,$175.73,1649049,$177.88,$177.98,$175.17
07/02/2024,$177.30,2883275,$174.84,$177.485,$174.32
07/01/2024,$175.10,3320961,$173.45,$176.46,$173.38
06/28/2024,$172.95,4193459,$170.85,$173.46,$170.53
06/27/2024,$170.85,2894001,$171.12,$172.50,$170.48
06/26/2024,$171.87,2779016,$171.28,$172.68,$170.41
06/25/2024,$172.60,4119267,$175.14,$175.7526,$171.42
06/24/2024,$175.01,4864735,$175.00,$178.4599,$174.15
06/21/2024,$172.46,10182030,$173.97,$174.96,$171.40
06/20/2024,$173.92,4723078,$174.08,$174.28,$171.22
06/18/2024,$170.55,3386442,$170.00,$170.75,$168.38
06/17/2024,$169.50,3239815,$168.76,$169.72,$167.50
06/14/2024,$169.21,2777717,$168.29,$169.47,$167.23
06/13/2024,$169.12,3525717,$169.01,$169.59,$168.335
06/12/2024,$169.00,3522698,$171.35,$172.47,$168.101
06/11/2024,$169.32,2951251,$169.98,$170.00,$166.81
06/10/2024,$170.38,3444684,$169.55,$170.76,$168.88
06/07/2024,$170.01,3475495,$168.18,$171.305,$168.06
06/06/2024,$168.20,2207263,$167.38,$168.44,$166.80
06/05/2024,$167.38,3049377,$166.41,$167.79,$165.78
06/04/2024,$165.81,2594203,$164.60,$166.40,$163.88
06/03/2024,$165.28,2776058,$166.54,$166.78,$163.53
05/31/2024,$166.85,4905002,$165.70,$166.97,$163.84
05/30/2024,$165.63,3852963,$165.56,$166.73,$164.23
05/29/2024,$167.05,4206576,$168.00,$168.63,$166.21
05/28/2024,$169.66,2629645,$170.44,$171.085,$168.65
05/24/2024,$170.89,2587829,$171.48,$172.01,$170.21
05/23/2024,$170.67,3341335,$175.39,$175.46,$170.435
05/22/2024,$173.69,3294900,$173.39,$174.99,$172.76
05/21/2024,$173.47,6459800,$169.94,$174.97,$169.94
05/20/2024,$169.92,2726261,$169.00,$170.16,$168.38
05/17/2024,$169.03,2956387,$168.97,$169.11,$167.33
05/16/2024,$168.97,3492267,$168.26,$169.63,$167.79
05/15/2024,$168.26,4468823,$167.94,$168.35,$167.34
05/14/2024,$167.36,2600967,$167.86,$168.13,$166.48
05/13/2024,$167.56,2414859,$167.50,$168.06,$166.76
05/10/2024,$167.15,2255370,$167.13,$168.07,$166.32
05/09/2024,$166.27,4266616,$167.50,$167.55,$165.88
05/08/2024,$169.90,3522011,$168.01,$170.26,$167.90
05/07/2024,$168.38,3155260,$169.00,$169.29,$167.94
05/06/2024,$168.61,4222266,$166.50,$168.67,$166.38
05/03/2024,$165.71,3400405,$165.00,$166.61,$164.92
05/02/2024,$164.69,3829853,$164.35,$164.88,$162.62
05/01/2024,$164.43,4030960,$165.69,$166.27,$164.30
04/30/2024,$166.20,6011634,$166.49,$166.76,$165.2605
04/29/2024,$167.43,5263342,$167.40,$168.22,$166.225
04/26/2024,$167.13,8983796,$167.50,$167.87,$165.73
04/25/2024,$168.91,16702150,$168.20,$172.45,$165.66
04/24/2024,$184.10,7616643,$183.17,$184.29,$181.40
04/23/2024,$182.19,5950229,$182.73,$184.68,$179.00
04/22/2024,$181.90,3076451,$182.45,$183.315,$180.45
04/19/2024,$181.58,3037990,$182.43,$182.80,$180.57
04/18/2024,$181.47,2886733,$182.35,$183.46,$180.17
04/17/2024,$183.10,3003033,$184.16,$184.67,$181.78
04/16/2024,$183.75,4473654,$185.59,$185.71,$182.86
04/15/2024,$181.25,3528140,$185.57,$187.48,$180.88
04/12/2024,$182.27,3547378,$184.00,$185.1699,$181.685
04/11/2024,$185.90,2861736,$186.04,$186.795,$184.58
04/10/2024,$186.04,3081915,$187.42,$187.915,$185.52
04/09/2024,$189.31,2794381,$190.54,$191.25,$186.66
04/08/2024,$189.82,2678284,$189.24,$190.24,$188.9118
04/05/2024,$189.14,2014264,$188.59,$190.32,$188.02
04/04/2024,$187.94,2983853,$192.00,$193.28,$187.34
04/03/2024,$190.90,2826193,$188.60,$191.35,$188.485
04/02/2024,$188.88,2693455,$189.14,$189.80,$187.60
04/01/2024,$189.83,2364320,$190.00,$190.46,$188.52
03/28/2024,$190.96,3742169,$190.94,$191.9299,$190.34
03/27/2024,$190.80,3693305,$189.60,$190.96,$188.60
03/26/2024,$188.50,4229535,$189.02,$190.00,$188.50
03/25/2024,$188.79,3718289,$190.26,$190.82,$188.75
03/22/2024,$190.84,3988398,$192.00,$192.985,$190.51
03/21/2024,$191.90,6013561,$193.00,$193.37,$190.01
03/20/2024,$193.96,3238643,$192.87,$193.98,$191.31
03/19/2024,$193.34,5317341,$191.49,$193.58,$190.28
03/18/2024,$191.69,5410562,$191.70,$193.23,$190.32
03/15/2024,$191.07,8828184,$191.99,$193.0573,$190.70
03/14/2024,$193.43,4109636,$196.95,$197.748,$192.12
03/13/2024,$196.70,3993258,$197.55,$198.10,$195.32
03/12/2024,$197.78,5880075,$192.46,$199.18,$192.15
03/11/2024,$191.73,4725057,$195.09,$195.3775,$190.88
03/08/2024,$195.95,3943113,$196.06,$197.77,$194.38
03/07/2024,$196.54,4604458,$197.58,$198.73,$196.14
03/06/2024,$196.16,6945818,$193.50,$198.13,$192.96
03/05/2024,$191.95,5653641,$192.00,$193.94,$190.57
03/04/2024,$193.06,7938266,$187.76,$193.898,$187.60
03/01/2024,$188.20,4018354,$185.49,$188.38,$185.18
02/29/2024,$185.03,6458487,$186.15,$186.8495,$184.69
02/28/2024,$185.30,3216345,$184.63,$185.37,$183.55
02/27/2024,$184.87,3641378,$184.16,$185.13,$182.62
02/26/2024,$184.13,4620815,$185.60,$186.125,$184.06
02/23/2024,$185.72,3433800,$184.90,$186.455,$184.57
02/22/2024,$184.21,5078398,$182.45,$184.55,$181.93
02/21/2024,$179.70,4728473,$182.56,$183.03,$178.75
02/20/2024,$183.44,4247181,$187.64,$188.77,$183.06
02/16/2024,$187.64,4842840,$186.63,$188.95,$185.9452
02/15/2024,$186.87,4714301,$183.62,$186.98,$183.62
02/14/2024,$183.57,3173391,$185.00,$185.00,$182.26
02/13/2024,$183.70,4290453,$184.28,$184.77,$182.36
02/12/2024,$186.16,4724021,$185.90,$186.48,$184.03
02/09/2024,$186.34,5064641,$184.44,$187.18,$183.85
02/08/2024,$184.36,5161185,$182.63,$184.55,$181.49
02/07/2024,$183.74,4841188,$183.34,$184.02,$182.625
02/06/2024,$183.41,3338196,$183.55,$184.68,$183.04
02/05/2024,$183.42,4379602,$185.51,$185.78,$183.255
02/02/2024,$185.79,4055411,$187.10,$187.39,$185.615
02/01/2024,$186.90,4669444,$183.63,$187.51,$182.71
01/31/2024,$183.66,8876055,$187.05,$187.65,$183.14
01/30/2024,$187.87,4575058,$187.71,$188.65,$186.77
01/29/2024,$187.14,6107908,$187.46,$189.46,$186.05
01/26/2024,$187.42,9895941,$191.31,$192.3896,$186.16
01/25/2024,$190.43,29596240,$184.96,$196.90,$184.83
01/24/2024,$173.93,9097827,$174.76,$174.86,$172.90
01/23/2024,$173.94,3983461,$172.90,$174.02,$172.48
01/22/2024,$172.83,4925964,$172.82,$174.45,$172.40
01/19/2024,$171.48,6929079,$170.59,$171.5791,$169.18
01/18/2024,$166.84,3776990,$166.49,$166.99,$165.04
01/17/2024,$166.08,4288604,$166.79,$167.82,$165.495
01/16/2024,$166.96,4869635,$165.80,$167.25,$165.34
01/12/2024,$165.80,4958261,$162.97,$165.98,$162.355
01/11/2024,$162.16,3778395,$161.02,$162.23,$160.29
01/10/2024,$161.23,2967852,$160.28,$161.34,$159.74
01/09/2024,$160.08,2617186,$160.00,$160.4837,$159.51
01/08/2024,$161.14,3321698,$158.69,$161.216,$157.885
01/05/2024,$159.16,4199504,$159.91,$160.55,$158.67
01/04/2024,$160.86,3212004,$160.22,$161.81,$160.17
01/03/2024,$160.10,4086065,$161.00,$161.73,$160.08
01/02/2024,$161.50,3825044,$162.83,$163.29,$160.46
12/29/2023,$163.55,2526169,$163.75,$164.18,$162.83
12/28/2023,$163.75,2071313,$163.96,$163.96,$163.40
12/27/2023,$163.46,3234550,$163.14,$163.64,$162.68
12/26/2023,$163.21,1772443,$162.23,$163.31,$162.05
12/22/2023,$162.14,2442715,$161.10,$162.41,$161.00
12/21/2023,$160.78,2982924,$160.59,$161.08,$159.53
12/20/2023,$160.05,4865797,$161.29,$161.80,$160.01
12/19/2023,$161.56,3766591,$161.80,$162.28,$161.32
12/18/2023,$162.74,3677533,$162.23,$163.33,$161.5766
12/15/2023,$162.23,11016110,$162.30,$164.09,$162.04
12/14/2023,$162.91,6129804,$162.93,$163.499,$160.149
12/13/2023,$163.62,4989141,$164.37,$164.9653,$162.735
12/12/2023,$164.71,5292290,$163.27,$166.34,$162.92
12/11/2023,$163.51,6077207,$162.68,$163.65,$161.95
12/08/2023,$161.96,4561342,$160.00,$162.04,$160.00
12/07/2023,$160.22,3665498,$161.00,$161.465,$159.97
12/06/2023,$160.28,3555863,$161.59,$162.355,$160.01
